Stock_NO,종목명,상장주식수(주),Market
95570,AJ네트웍스,"46,822,295",kospi
68400,AJ렌터카,"22,146,300",kospi
6840,AK홀딩스,"13,247,561",kospi
27410,BGF리테일,"49,547,625",kospi
138930,BNK금융지주,"325,935,246",kospi
1460,BYC,"624,615",kospi
1040,CJ,"29,176,998",kospi
79160,CJ CGV,"21,161,313",kospi
120,CJ대한통운,"22,812,344",kospi
11150,CJ씨푸드,"35,930,773",kospi
97950,CJ제일제당,"13,161,898",kospi
37560,CJ헬로비전,"77,446,865",kospi
590,CS홀딩스,"1,154,482",kospi
139130,DGB금융지주,"169,145,833",kospi
4840,DRB동일,"18,510,000",kospi
155660,DSR,"16,000,000",kospi
69730,DSR제강,"14,400,000",kospi
17940,E1,"6,860,000",kospi
7700,F&F,"15,400,000",kospi
114090,GKL,"61,855,670",kospi
78930,GS,"92,915,378",kospi
6360,GS건설,"71,000,000",kospi
1250,GS글로벌,"82,533,764",kospi
7070,GS리테일,"77,000,000",kospi
1500,HMC투자증권,"29,337,111",kospi
3560,IHQ,"143,556,056",kospi
175330,JB금융지주,"155,439,423",kospi
234080,JW생명과학,"7,917,277",kospi
1060,JW중외제약,"19,117,112",kospi
96760,JW홀딩스,"61,308,431",kospi
105560,KB금융,"418,111,537",kospi
2550,KB손해보험,"66,500,000",kospi
21960,KB캐피탈,"21,492,128",kospi
2380,KCC,"10,556,513",kospi
9070,KCTC,"30,000,000",kospi
9440,KC그린홀딩스,"22,434,980",kospi
119650,KC코트렐,"13,000,000",kospi
92220,KEC,"89,047,384",kospi
109070,KGP,"65,814,325",kospi
1390,KG케미칼,"11,576,968",kospi
1940,KISCO홀딩스,"3,695,276",kospi
83420,KPX그린케미칼,"20,000,000",kospi
25000,KPX케미칼,"4,840,000",kospi
92230,KPX홀딩스,"4,224,646",kospi
40,KR모터스,"176,129,474",kospi
44450,KSS해운,"23,185,880",kospi
30200,KT,"261,111,808",kospi
33780,KT&G,"137,292,497",kospi
30210,KTB투자증권,"60,314,092",kospi
58850,KTcs,"42,685,000",kospi
93050,LF,"29,240,000",kospi
3550,LG,"172,557,131",kospi
34220,LG디스플레이,"357,815,700",kospi
1120,LG상사,"38,760,000",kospi
51900,LG생활건강,"15,618,197",kospi
32640,LG유플러스,"436,611,361",kospi
11070,LG이노텍,"23,667,107",kospi
66570,LG전자,"163,647,814",kospi
108670,LG하우시스,"8,967,670",kospi
51910,LG화학,"70,592,343",kospi
79550,LIG넥스원,"22,000,000",kospi
6260,LS,"32,200,000",kospi
680,LS네트웍스,"78,803,016",kospi
10120,LS산전,"30,000,000",kospi
229640,LS전선아시아,"30,624,879",kospi
23150,MH에탄올,"7,378,526",kospi
35420,NAVER,"32,962,679",kospi
181710,NHN엔터테인먼트,"19,565,025",kospi
5940,NH투자증권,"281,408,887",kospi
34310,NICE,"37,882,300",kospi
8260,NI스틸,"28,426,850",kospi
4250,NPC,"36,720,000",kospi
10060,OCI,"23,849,371",kospi
5490,POSCO,"87,186,835",kospi
100840,S&TC,"7,084,612",kospi
64960,S&T모티브,"14,623,136",kospi
3570,S&T중공업,"32,473,439",kospi
36530,S&T홀딩스,"15,830,105",kospi
10950,S-Oil,"112,582,792",kospi
34120,SBS,"18,252,582",kospi
101060,SBS미디어홀딩스,"139,896,190",kospi
4060,SG세계물산,"202,424,960",kospi
1380,SG충방,"41,747,470",kospi
2360,SH에너지화학,"111,133,730",kospi
9160,SIMPAC,"29,084,925",kospi
123700,SJM,"15,604,898",kospi
25530,SJM홀딩스,"14,934,008",kospi
34730,SK,"70,360,297",kospi
11790,SKC,"37,534,555",kospi
18670,SK가스,"8,881,471",kospi
1740,SK네트웍스,"248,187,647",kospi
210980,SK디앤디,"10,770,000",kospi
96770,SK이노베이션,"92,465,564",kospi
1510,SK증권,"320,117,171",kospi
6120,SK케미칼,"24,303,255",kospi
17670,SK텔레콤,"80,745,711",kospi
660,SK하이닉스,"728,002,365",kospi
5610,SPC삼립,"8,629,009",kospi
11810,STX,"47,334,308",kospi
77970,STX엔진,"23,008,904",kospi
71970,STX중공업,"23,792,327",kospi
84870,TBH글로벌,"20,856,819",kospi
2710,TCC동양,"22,342,500",kospi
24070,WISCOM,"15,025,920",kospi
37270,YG PLUS,"58,170,704",kospi
500,가온전선,"4,160,347",kospi
860,강남제비스코,"6,500,000",kospi
35250,강원랜드,"213,940,500",kospi
11420,갤럭시아에스엠,"27,549,644",kospi
2100,경농,"21,691,750",kospi
12320,경동가스,"3,484,800",kospi
9450,경동나비엔,"12,739,510",kospi
50,경방,"27,415,270",kospi
214390,경보제약,"23,906,860",kospi
12610,경인양행,"40,396,365",kospi
9140,경인전자,"1,570,797",kospi
13580,계룡건설,"8,930,907",kospi
12200,계양전기,"32,600,000",kospi
4200,고려개발,"21,550,000",kospi
2140,고려산업,"24,939,425",kospi
10130,고려아연,"18,870,000",kospi
2240,고려제강,"18,000,000",kospi
9810,고려포리머,"66,257,536",kospi
1290,골든브릿지증권,"63,737,067",kospi
9290,광동제약,"52,420,851",kospi
17040,광명전기,"43,337,615",kospi
17900,광전자,"57,943,763",kospi
37710,광주신세계,"1,600,000",kospi
192530,광주은행,"51,316,057",kospi
140910,광희리츠,"3,628,735",kospi
30610,교보증권,"36,000,000",kospi
7690,국도화학,"5,810,616",kospi
5320,국동,"5,914,052",kospi
1140,국보,"1,027,304",kospi
2720,국제약품,"16,607,318",kospi
14530,극동유화,"34,869,420",kospi
14280,금강공업,"4,855,964",kospi
8870,금비,"1,000,000",kospi
1570,금양,"39,353,308",kospi
2990,금호산업,"35,090,993",kospi
11780,금호석유,"30,467,691",kospi
214330,금호에이치티,"9,765,000",kospi
1210,금호전기,"6,916,051",kospi
73240,금호타이어,"157,993,158",kospi
92440,기신정기,"29,200,000",kospi
270,기아차,"405,363,347",kospi
24110,기업은행,"559,978,815",kospi
13700,까뮤이앤씨,"4,515,228",kospi
4540,깨끗한나라,"37,234,016",kospi
7460,나라케이아이씨,"16,926,996",kospi
1260,남광토건,"9,796,455",kospi
8350,남선알미늄,"110,179,090",kospi
4270,남성,"36,212,160",kospi
3920,남양유업,"720,000",kospi
2070,남영비비안,"6,867,945",kospi
25860,남해화학,"49,678,843",kospi
5720,넥센,"50,880,170",kospi
2350,넥센타이어,"96,415,877",kospi
110570,넥솔론,"161,170,196",kospi
90350,노루페인트,"20,000,000",kospi
320,노루홀딩스,"13,198,611",kospi
6280,녹십자,"11,686,538",kospi
5250,녹십자홀딩스,"47,028,210",kospi
4370,농심,"6,082,642",kospi
72710,농심홀딩스,"4,637,790",kospi
23590,다우기술,"44,866,617",kospi
20120,다우인큐브,"15,832,549",kospi
15590,대경기계,"70,739,890",kospi
19680,대교,"84,702,850",kospi
6370,대구백화점,"10,821,611",kospi
4130,대덕GDS,"20,575,613",kospi
8060,대덕전자,"48,796,300",kospi
490,대동공업,"23,728,210",kospi
8110,대동전자,"10,490,447",kospi
5750,대림B&Co,"16,672,240",kospi
210,대림산업,"34,800,000",kospi
4440,대림씨엔에스,"12,731,947",kospi
6570,대림통상,"15,225,000",kospi
1680,대상,"34,411,575",kospi
84690,대상홀딩스,"36,212,538",kospi
128820,대성산업,"24,087,955",kospi
117580,대성에너지,"27,500,000",kospi
5620,대성합동지주,"1,799,077",kospi
16710,대성홀딩스,"16,089,459",kospi
3540,대신증권,"50,773,400",kospi
9190,대양금속,"12,317,933",kospi
14160,대영포장,"106,584,898",kospi
47040,대우건설,"415,622,638",kospi
9320,대우부품,"47,646,375",kospi
42660,대우조선해양,"65,576,960",kospi
3090,대웅,"11,628,396",kospi
69620,대웅제약,"11,586,575",kospi
430,대원강업,"62,000,000",kospi
6340,대원전선,"68,107,171",kospi
3220,대원제약,"17,681,504",kospi
24890,대원화성,"41,249,152",kospi
2880,대유에이텍,"91,784,300",kospi
300,대유플러스,"88,120,526",kospi
12800,대창,"91,140,499",kospi
15230,대창단조,"2,000,000",kospi
1070,대한방직,"1,060,000",kospi
6650,대한유화,"6,500,000",kospi
1440,대한전선,"856,473,009",kospi
84010,대한제강,"24,646,734",kospi
1790,대한제당,"8,840,002",kospi
1130,대한제분,"1,690,000",kospi
3490,대한항공,"72,839,744",kospi
5880,대한해운,"24,426,504",kospi
3830,대한화섬,"1,328,000",kospi
16090,대현,"45,282,310",kospi
69460,대호에이엘,"27,134,839",kospi
12510,더존비즈온,"29,672,700",kospi
4830,덕성,"15,680,000",kospi
24900,덕양산업,"32,564,980",kospi
8000,도레이케미칼,"46,363,851",kospi
2150,도화엔지니어링,"33,720,000",kospi
1620,동국실업,"29,042,766",kospi
1230,동국제강,"95,432,737",kospi
23450,동남합성,"1,510,074",kospi
4140,동방,"32,523,970",kospi
7590,동방아그로,"13,617,577",kospi
12030,동부,"182,126,320",kospi
5960,동부건설,"20,818,499",kospi
16380,동부제철,"25,000,122",kospi
16610,동부증권,"42,446,389",kospi
990,동부하이텍,"44,367,832",kospi
5830,동부화재,"70,800,000",kospi
83350,동북아10호,"1,585,660",kospi
83360,동북아11호,"1,585,660",kospi
83370,동북아12호,"1,585,660",kospi
83380,동북아13호,"1,585,660",kospi
83390,동북아14호,"1,585,660",kospi
26960,동서,"99,700,000",kospi
2210,동성제약,"22,404,756",kospi
102260,동성코퍼레이션,"45,444,970",kospi
5190,동성화학,"5,304,983",kospi
640,동아쏘시오홀딩스,"6,137,913",kospi
